L5,D5,L4,D4,L3,D3,L2,D2,L1,D1,X
2.578235424,-0.122482782,2.455752642,0.039293484,2.495046126,0.151587966,2.646634092,-0.091770942,2.554863151,-0.057017361,2.497845789
2.575369543,-0.117169894,2.458199649,0.047326568,2.505526217,0.131861803,2.63738802,-0.420894968,2.216493052,0.304690876,2.521183927
2.573652855,-0.107516643,2.466136212,0.047624164,2.513760376,0.1008017,2.614562077,-0.019003467,2.595558609,-0.469092727,2.126465882
2.572030392,-0.096496497,2.475533896,0.048066374,2.523600269,0.057050132,2.580650401,0.62577881,3.206429211,0.255055013,3.461484224
2.567047074,-0.09197899,2.475068084,0.046525626,2.52159371,-0.007390351,2.514203359,0.108929164,2.623132524,-0.147179154,2.47595337
2.560799564,-0.089128195,2.47167137,0.043389796,2.515061165,-0.087781443,2.427279722,-0.710962995,1.716316727,0.303772288,2.020089014
2.554803632,-0.084547571,2.470256062,0.040427689,2.510683751,-0.180508394,2.330175357,-0.262894759,2.067280598,-0.398214808,1.66906579
2.54796645,-0.080700513,2.467265937,0.036582051,2.503847988,-0.288149625,2.215698362,0.459672838,2.6753712,0.7075573,3.3829285
2.542379511,-0.072681463,2.469698048,0.031020716,2.500718765,-0.247536907,2.253181857,0.199231579,2.452413436,-0.817715286,1.63469815
2.536956966,-0.06304783,2.473909136,0.024333719,2.498242854,-0.15213781,2.346105044,-0.216579587,2.129525458,0.358888732,2.48841419
2.530611678,-0.054339696,2.476271982,0.01680747,2.493079452,-0.078667678,2.414411774,-0.124715858,2.289695916,-0.03461162,2.255084296
2.52408319,-0.044826974,2.479256216,0.008214949,2.487471165,0.026843892,2.514315057,0.00626349,2.520578547,-0.479814946,2.040763601
2.522393846,-0.032900544,2.489493302,0.00257575,2.492069052,0.06760731,2.559676363,0.036996154,2.596672516,0.717362367,3.314034884
2.522579985,-0.019668047,2.502911939,-0.002395355,2.500516583,0.093513568,2.594030151,0.097161631,2.691191782,-0.145496995,2.545694787
2.522360504,-0.005714089,2.516646414,-0.00860424,2.508042175,0.155205553,2.663247728,0.007836614,2.671084341,-0.256192691,2.41489165
2.523359722,0.009414473,2.532774195,-0.014713992,2.518060203,0.218305859,2.736366062,-0.141918652,2.594447411,0.773312497,3.367759908
2.522734762,0.024435684,2.547170446,-0.022796351,2.524374095,0.164764014,2.689138109,-0.03934758,2.64979053,-1.064022562,1.585767967
